screenName,Tweets,Timeframe,Links,profilePictue
@CovidIndiaSeva,"If a #COVID19 case is clinically assigned as a very mild/ pre-symptomatic/#asymptomatic by the treating medical officer, they are allowed for #HomeIsolation with conditions:  
Mild positive #COVIDー19 cases are assigned to Dedicated #COVID Health Centers. https://t.co/bONfFh4DjL",2020-08-22 17:35:14,https://t.co/0di7oaPZkP,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CovidIndiaSeva,"You may visit @MoHFW_INDIA for state-wise #COVID19 data: Total Cases, Active Cases, Cured Cases, &amp; #COVID related deaths. The information is available under State Data tab:  

#COVID__19 #COVID_19 #COVIDー19 #COVID19India #coronavirus #CoronavirusPandemic https://t.co/9MtaR39gzi",2020-08-22 16:47:51,https://t.co/6Nt452AbSS,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CovidIndiaSeva,"You may refer to the following link for The Corona Fighters game released by @MoHFW_INDIA:  

#COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #COVIDUpdates #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic https://t.co/dny7R8AuKT",2020-08-22 15:29:00,https://t.co/glqgrtTZqb,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CovidIndiaSeva,".@MoHFW_INDIA has developed #COVID19 awareness material in English, Hindi, Bengali, Telugu, &amp; various other languages. This content is available for free on its social media handles and website  

#COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India https://t.co/Amvt0ohQxd",2020-08-22 15:13:00,https://t.co/iJFyUoxphE,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CDCgov,Do you have a disaster plan for your family (including pets) in the event of a #hurricane or severe storm? This year be aware that your shelter location may have changed. Check with local authorities and make a plan before the storm.   #COVID19 https://t.co/jD3PqyOI2Q,2020-08-22 15:00:21,https://t.co/jmMApIHT1p,http://pbs.twimg.com/profile_images/880104586211581952/KPwn1JyQ_normal.jpg
@CovidIndiaSeva,"Soap, shower gel, shampoo, etc are equally effective in destroying the #novel #coronavirus.

#COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #COVIDUpdates #CoronaUpdates #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic  ",2020-08-22 14:55:59,https://t.co/dy0ksk2sX3,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CovidIndiaSeva,"You may contact #WestBengal's Integrated Helpline 1800-313444-222 or visit the following portal for details:  

#COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #Corona #coronavirus #CoronavirusIndia #CoronavirusUpdates #CoronavirusPandemic https://t.co/Gj7xYY55hW",2020-08-22 11:29:00,https://t.co/C4GUhLzFul,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CovidIndiaSeva,"Before finalizing your itinerary, kindly contact #Uttarakhand Control Room for details: 0135 -2722100, 9557194828, 8476824218, 9536099082, 7017082637
You may also refer to the following link for travel SOPs &amp; #COVID19 related info:  

#COVID_19 #COVID19India https://t.co/kJIdPAq54C",2020-08-22 11:11:12,https://t.co/UdhrKmKtly,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@MoHFW_INDIA,"#CoronaVirusUpdates 

India records Highest ever single day peak of 63,631 #COVID19 recoveries.
 
#IndiaFightsCorona as Total recoveries cross 22 lakh.

Recoveries exceed the active cases by more than 15 lakh.

  https://t.co/VDQSv7xVUB",2020-08-22 10:19:38,https://t.co/XBY3Er8K0P,http://pbs.twimg.com/profile_images/1007597308664377344/ECLJlkpv_normal.jpg
@CovidIndiaSeva,"As per @MoCA_GoI guidelines, thermal screening and #epass is done for all passengers while #COVID19 testing is done for symptomatic passengers:  

#Kerala #COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India #COVIDUpdates #CoronaUpdates #Corona",2020-08-22 09:14:33,https://t.co/KznCyfX70Q,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@COVIDNewsByMIB,"#IndiaFightsCorona 

North, West, East or South, we all are together in this fight against #COVID19. 

Let's support each other and care for each other.

#StaySafe #IndiaWillWin 

@drharshvardhan @PrakashJavdekar @DDNewslive @PIB_India
  
Via @MoHFW_INDIA

 ",2020-08-22 08:30:52,https://t.co/eVeYMf4QAy,http://pbs.twimg.com/profile_images/1244933005795135489/bPoYebla_normal.jpg
@COVIDNewsByMIB,"#IndiaFightsCorona:

India crosses a crucial milestone in the fight against #COVID19

Tests more than 10 lakh people in a day

Details:  

#IndiaWillWin 

@ICMRDELHI https://t.co/BqTKYOTw8N",2020-08-22 07:27:21,https://t.co/b746p8Lefw,http://pbs.twimg.com/profile_images/1244933005795135489/bPoYebla_normal.jpg
@MoHFW_INDIA,"#IndiaFightsCorona

India crosses a crucial milestone in the fight against #COVID19.

Tests more than 10 lakh people in a day.
   https://t.co/WQFeKc8JQa",2020-08-22 07:18:56,https://t.co/BRa9gmuFHJ,http://pbs.twimg.com/profile_images/1007597308664377344/ECLJlkpv_normal.jpg
@CovidIndiaSeva,"All passengers need to download #AarogyaSetu app before the journey and will have to submit the Health Declaration Form upon arrival. For other information, please check out the following link:  

#COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #COVID19India https://t.co/jBNh2AgJ3j",2020-08-22 06:40:05,https://t.co/KznCyfX70Q,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CovidIndiaSeva,"You may refer to the #Gurugram #WeekendLockdown order below. For travel related advisory, kindly contact Gurugram Helpline No.1950, 9953618102, 0124- 2322412 (9AM-5PM) for details.

#Haryana #COVID19 #COVID__19 #COVID #COVID_19 #COVIDー19 #Corona #coronavirus #CoronavirusIndia   https://t.co/ZlO232kbb0",2020-08-22 05:29:29,https://t.co/x80CWjypVZ,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CovidIndiaSeva,@staticechoes @MoHFW_INDIA @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @MIB_India @mygovindia @COVIDNewsByMIB @DDNewslive @airnewsalerts @ICMRDELHI You may refer the strategy guideline here:  ,2020-08-22 05:23:29,https://t.co/apqxPnV5eC,http://pbs.twimg.com/profile_images/1252294475688206336/HV36JQD0_normal.jpg
@CDCgov,"The latest CDC #COVIDView report shows the percentage of deaths attributed to #COVID19 is 7.8%. Although lower than the previous week (12.6%), this percentage is above the epidemic threshold and will likely increase as more death certificates are counted:  . https://t.co/bxrIgLBJ7a",2020-08-21 21:37:01,https://t.co/zP4VYlo0Pb,http://pbs.twimg.com/profile_images/880104586211581952/KPwn1JyQ_normal.jpg
